Name MC MP
Bitcoin 119,977,618,349,658 56.44%
Ethereum 33,662,492,943,921 15.84%
Tether 10,187,891,727,630 4.79%
BN 7,750,257,786,244 3.65%
Solana 6,932,671,599,932 3.26%
USD 3,061,039,064,897 1.44%
XR 2,581,354,746,649 1.21%
Toncoin 2,018,300,330,380 0.95%
Dogecoin 1,976,466,501,638 0.93%
Cardano 1,521,056,249,083 0.72%
Shiba 1,286,265,147,423 0.61%
Avalanche 1,245,728,985,269 0.59%
TRON 966,735,821,312 0.45%
Polkadot 917,130,019,692 0.43%
Chainlink 903,412,212,027 0.42%
Bitcoin 885,268,273,183 0.42%
NEAR 762,347,391,358 0.36%
Polygon 622,231,687,099 0.29%
Litecoin 563,620,181,701 0.27%
Internet 537,137,662,302 0.25%
UNUS 500,348,857,072 0.24%
Da 488,839,016,965 0.23%
Uniswap 422,333,125,562 0.20%
Ethereum 368,974,133,560 0.17%
Heder 364,252,710,712 0.17%
Rende 361,143,328,927 0.17%
Pep 349,726,134,754 0.16%
First 325,063,991,795 0.15%
Apto 324,402,533,727 0.15%
Immutabl 307,130,563,795 0.14%
Crono 296,923,901,163 0.14%
Cosmo 296,439,934,418 0.14%
Mantl 282,758,572,967 0.13%
Filecoi 281,604,624,169 0.13%
Stella 280,492,647,905 0.13%
Arweav 277,015,904,369 0.13%
OK 268,999,375,160 0.13%
Kasp 263,961,011,262 0.12%
Stack 261,938,915,110 0.12%
The 260,990,374,713 0.12%
Optimis 244,884,059,465 0.12%
Arbitru 237,245,514,829 0.11%
Make 233,655,409,350 0.11%
Moner 228,944,423,749 0.11%
VeChai 229,265,488,322 0.11%
Bittenso 227,720,170,621 0.11%
dogwifha 226,266,311,512 0.11%
Su 219,766,596,270 0.10%
Fanto 215,459,373,096 0.10%
Injectiv 208,585,368,231 0.10%
THORChai 202,510,932,413 0.10%
Theta 196,550,357,332 0.09%
Fetch.a 170,360,199,578 0.08%
FLOK 169,127,705,940 0.08%
Bon 150,584,065,809 0.07%
Celesti 148,504,358,476 0.07%
Cor 145,282,315,187 0.07%
Jupite 145,182,995,793 0.07%
Lido 140,640,677,477 0.07%
Se 139,926,455,348 0.07%
Bitget 139,231,546,729 0.07%
Algoran 131,172,389,907 0.06%
Akash 122,829,578,359 0.06%
Gal 120,478,279,566 0.06%
Flo 120,458,411,152 0.06%
Bitcoin 118,040,444,998 0.06%
Aav 115,719,143,087 0.05%
Ond 115,575,902,898 0.05%
Bea 111,991,972,625 0.05%
SingularityNE 108,032,185,772 0.05%
Quan 104,892,716,329 0.05%
BitTorrent 104,707,671,144 0.05%
Flar 102,324,273,318 0.05%
dYdX 98,992,175,190 0.05%
Ethen 97,606,467,124 0.05%
Ne 95,867,169,127 0.05%
Multivers 94,781,444,312 0.04%
Axie 94,306,161,277 0.04%
Worldcoi 93,500,185,693 0.04%
Chili 93,341,463,363 0.04%
eCas 90,342,662,145 0.04%
JasmyCoi 88,847,888,261 0.04%
The 88,902,111,578 0.04%
Wormhol 87,689,193,101 0.04%
KuCoin 85,058,426,958 0.04%
Conflu 82,368,231,657 0.04%
Tezo 82,221,044,474 0.04%
EO 81,098,796,500 0.04%
AIOZ 80,427,911,034 0.04%
Roni 80,028,669,636 0.04%
Min 77,943,359,954 0.04%
Syntheti 77,041,407,984 0.04%
ORD 75,978,448,076 0.04%
Decentralan 73,754,947,630 0.03%
BOOK 70,008,062,138 0.03%
Starkne 69,904,874,495 0.03%
Gnosi 69,472,196,428 0.03%
Nex 67,134,164,929 0.03%
GateToke 66,957,272,320 0.03%
USD 66,807,764,896 0.03%
