Name MC MP
Bitcoin 120,077,253,448,438 56.43%
Ethereum 33,706,443,482,276 15.84%
Tether 10,187,133,949,057 4.79%
BN 7,760,339,092,115 3.65%
Solana 6,962,257,413,295 3.27%
USD 3,060,563,120,097 1.44%
XR 2,584,360,755,638 1.21%
Toncoin 2,022,214,555,928 0.95%
Dogecoin 1,980,933,420,057 0.93%
Cardano 1,522,207,278,420 0.72%
Shiba 1,288,658,470,227 0.61%
Avalanche 1,248,119,831,303 0.59%
TRON 967,511,135,863 0.45%
Polkadot 918,480,648,197 0.43%
Chainlink 903,554,510,151 0.42%
Bitcoin 887,248,303,900 0.42%
NEAR 764,569,609,577 0.36%
Polygon 623,256,582,550 0.29%
Litecoin 564,174,883,861 0.27%
Internet 537,802,016,843 0.25%
UNUS 500,469,561,065 0.24%
Da 488,907,476,018 0.23%
Uniswap 422,627,394,146 0.20%
Ethereum 369,693,175,204 0.17%
Heder 364,904,618,713 0.17%
Rende 361,452,076,297 0.17%
Pep 350,443,896,679 0.16%
First 325,079,329,782 0.15%
Apto 325,033,763,362 0.15%
Immutabl 307,689,891,226 0.14%
Crono 297,373,619,871 0.14%
Cosmo 296,839,732,400 0.14%
Mantl 282,843,921,574 0.13%
Filecoi 282,224,353,475 0.13%
Stella 280,554,527,266 0.13%
Arweav 278,161,365,414 0.13%
OK 269,233,587,174 0.13%
Kasp 264,542,332,530 0.12%
Stack 262,024,811,899 0.12%
The 261,293,721,415 0.12%
Optimis 245,095,414,711 0.12%
Arbitru 237,476,332,979 0.11%
Make 233,966,814,115 0.11%
VeChai 229,626,179,708 0.11%
Moner 229,032,826,616 0.11%
Bittenso 227,887,947,329 0.11%
dogwifha 226,645,622,591 0.11%
Su 220,219,053,934 0.10%
Fanto 215,769,993,072 0.10%
Injectiv 209,761,649,340 0.10%
THORChai 202,852,295,660 0.10%
Theta 196,951,470,108 0.09%
Fetch.a 170,589,891,608 0.08%
FLOK 169,406,670,362 0.08%
Bon 150,872,228,018 0.07%
Celesti 148,620,747,860 0.07%
Cor 145,197,679,058 0.07%
Jupite 145,538,733,354 0.07%
Lido 141,190,237,547 0.07%
Se 140,345,401,341 0.07%
Bitget 139,293,601,309 0.07%
Algoran 131,390,960,854 0.06%
Akash 122,844,166,614 0.06%
Gal 120,747,548,547 0.06%
Flo 120,644,985,715 0.06%
Bitcoin 118,258,981,310 0.06%
Aav 115,894,445,577 0.05%
Ond 115,796,168,487 0.05%
Bea 112,466,562,475 0.05%
SingularityNE 108,173,119,584 0.05%
Quan 105,014,560,827 0.05%
BitTorrent 104,708,919,595 0.05%
Flar 102,311,354,670 0.05%
dYdX 99,165,434,702 0.05%
Ethen 97,668,116,692 0.05%
Ne 95,997,331,400 0.05%
Multivers 94,956,425,267 0.04%
Axie 94,511,626,901 0.04%
Worldcoi 93,677,769,101 0.04%
Chili 93,496,001,590 0.04%
eCas 90,492,527,445 0.04%
The 89,056,155,754 0.04%
JasmyCoi 89,053,782,749 0.04%
Wormhol 87,865,004,822 0.04%
KuCoin 85,080,854,848 0.04%
Conflu 82,441,385,232 0.04%
Tezo 82,296,949,355 0.04%
EO 81,158,346,284 0.04%
AIOZ 80,526,028,784 0.04%
Roni 80,085,087,713 0.04%
Min 78,011,387,013 0.04%
Syntheti 77,174,085,886 0.04%
ORD 76,259,237,310 0.04%
Decentralan 73,843,759,898 0.03%
BOOK 69,996,099,065 0.03%
Starkne 70,023,304,327 0.03%
Gnosi 69,606,995,310 0.03%
Nex 67,176,353,534 0.03%
GateToke 66,888,495,472 0.03%
USD 66,765,140,316 0.03%
